month,post_nil,transfer_count
2020-08,False,81
2020-09,False,77
2020-10,False,80
2020-11,False,136
2020-12,False,402
2021-01,False,391
2021-02,False,112
2021-03,False,93
2021-04,False,111
2021-05,False,170
2021-06,False,92
2021-07,True,26
2021-08,True,64
2021-09,True,66
2021-10,True,102
2021-11,True,329
2021-12,True,563
2022-01,True,455
2022-02,True,121
2022-03,True,87
2022-04,True,336
2022-05,True,86
2022-06,True,39
2022-07,True,22
2022-08,True,58
2022-09,True,16
2022-10,True,40
2022-11,True,178
2022-12,True,1099
2023-01,True,314
2023-02,True,53
2023-03,True,47
2023-04,True,621
2023-05,True,59
2023-06,True,18
2023-07,True,3
